StudyPackageCd,Study Package Version,FullTitle,Stage,Study Package Category Type,Category Type Description,CreditPointValue,Nominal Hour Value,Non Credit Point Value,Scheduled Hour Value,Owning Organisational Unit Code,Owning Organisational Unit Name,Study Package Sort Code,Short Title,Abbreviated Title,Primary FOE,Award Code,Award Level Type,Expected Time to Complete,Study Type,Study Package Category,Secondary FOE,Study Package Grading Scheme Code,Study Package Requisite Types,Fee Level Type,Fee Level Code,Keyword,SpkStageCd_Code,SpkCatCd_Code,AwdCd_Code,AwdLvlTypeCd_Code,FeeLvlTypeCd_Code,StudyTypeCd_Code
MAJ01115,4,Biotechnology major BSc LLB BSc BBus,Active,MJ,Major,96,0,0,0,N,Science,MAJ01115,Biotechnology,Biotechnology Major,10999,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01116,4,Mathematics Major BSc LLB BSc BBus,Active,MJ,Major,96,0,0,0,N,Science,MAJ01116,Mathematics,Mathematics Major,10100,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01117,3,Biotechnology major BSc LLB BSc BBus,Active,MJ,Major,96,0,0,0,N,Science,MAJ01117,Biotechnology,Biotechnology Major,10999,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01119,5,Biotechnology major BSc BE,Active,MJ,Major,78,0,0,0,N,Science,MAJ01119,Biotechnology,Biotechnology major,10999,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01120,3,Medical Science Major BSc BE,Active,MJ,Major,78,0,0,0,N,Science,MAJ01120,Medical Science,Medical Science Major,10100,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01124,5,48cp Mathematical and Statistical Data Science Major,Active,MJ,Major,48,0,0,0,N,Science,MAJ01124,Mathematical and Statistical Data Science Major,Mathematical and Statistical D,10100,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01126,3,Environmental Sciences Major BSc,Active,MJ,Major,96,0,0,0,N,Science,MAJ01126,Environmental Sciences,Environmental Sciences Major,10905,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01133,5,24cp Mathematical and Statistical Data Science Major MSc (Honours),Active,MJ,Major,24,0,0,0,N,Science,MAJ01133,Mathematical and Statistical Data Science (Honours),Math and Stat Data Sc Hons,10199,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01135,4,24cp Biomedical Engineering Major MSc (Honours),Active,MJ,Major,24,0,0,0,N,Science,MAJ01135,Biomedical Engineering (Honours),Biomedical Engineering major,10999,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01137,2,Data Analytics Major,Active,MJ,Major,48,0,0,0,N,Science,MAJ01137,Data Analytics,Data Analytics,10100,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01138,1,Computational Mathematics Major,Active,MJ,Major,48,0,0,0,N,Science,MAJ01138,Computational Mathematics,Computational Mathematics,10100,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01139,2,Business Modelling Major,Active,MJ,Major,48,0,0,0,N,Science,MAJ01139,Business Modelling,Business Modelling,10100,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01144,1,Consumer Analytics Major,Active,MJ,Major,48,0,0,0,N,Science,MAJ01144,Consumer Analytics,Consumer Analytics Major,10199,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01145,1,Operations Analysis Major,Active,MJ,Major,48,0,0,0,N,Science,MAJ01145,Operations Analysis,Operations Analysis Major,10199,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01146,1,Risk Management Major,Active,MJ,Major,48,0,0,0,N,Science,MAJ01146,Risk Management,Risk Management Major,10199,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01147,1,Financial Mathematics Major,Active,MJ,Major,48,0,0,0,N,Science,MAJ01147,Financial Mathematics,Financial Mathematics Major,10199,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01148,3,72cp Chemistry major BForSc,Active,MJ,Major,72,0,0,0,NP,Mathematical and Physical Sciences,MAJ01148,Chemistry,Chemistry,19903,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01149,3,72cp Biology major BForSc,Active,MJ,Major,72,0,0,0,NP,Mathematical and Physical Sciences,MAJ01149,Biology,Biology,19903,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01150,4,72cp Crime Scene Investigation Major BForSc,Active,MJ,Major,72,0,0,0,NP,Mathematical and Physical Sciences,MAJ01150,Crime Scene Investigation,Crime Scene Investigation,19903,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01151,5,72cp Digital Forensics Major BForSc,Active,MJ,Major,72,0,0,0,NP,Mathematical and Physical Sciences,MAJ01151,Digital Forensics,Digital Forensics,19903,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01152,4,54cp Chemistry Major,Active,MJ,Major,54,0,0,0,NP,Mathematical and Physical Sciences,MAJ01152,Chemistry,Chemistry,19903,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01153,4,54cp Biology Major,Active,MJ,Major,54,0,0,0,NP,Mathematical and Physical Sciences,MAJ01153,Biology,Biology,19903,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01154,5,54cp Crime Scene Investigation Major,Active,MJ,Major,54,0,0,0,NP,Mathematical and Physical Sciences,MAJ01154,Crime Scene Investigation,Crime Scene Investigation,19903,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01155,3,54cp Digital Forensics Major,Active,MJ,Major,54,0,0,0,NP,Mathematical and Physical Sciences,MAJ01155,Digital Forensics,Digital Forensics,19903,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01156,2,48cp Mathematical Analysis major BCS Hons,Active,MJ,Major,48,0,0,0,N,Science,MAJ01156,Mathematical Analysis,Mathematical Analysis,10199,,NA,0,Not Applicable,Major,,,,,,21070,AC,MJ,,,,$NAP
MAJ01156,2,48cp Mathematical Analysis major BCS Hons,Active,MJ,Major,48,0,0,0,N,Science,MAJ01156,Mathematical Analysis,Mathematical Analysis,10199,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01157,1,48cp Operations Research major BCS Hons,Active,MJ,Major,48,0,0,0,N,Science,MAJ01157,Operations Research,Operations Research,10199,,NA,0,Not Applicable,Major,,,,,,21070,AC,MJ,,,,$NAP
MAJ01157,1,48cp Operations Research major BCS Hons,Active,MJ,Major,48,0,0,0,N,Science,MAJ01157,Operations Research,Operations Research,10199,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01158,1,48cp Statistics major BCS Hons,Active,MJ,Major,48,0,0,0,N,Science,MAJ01158,Statistics,Statistics,10103,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01158,1,48cp Statistics major BCS Hons,Active,MJ,Major,48,0,0,0,N,Science,MAJ01158,Statistics,Statistics,10103,,NA,0,Not Applicable,Major,,,,,,21070,AC,MJ,,,,$NAP
MAJ01159,2,66cp Medical Biotechnology major BBiotech,Active,MJ,Major,66,0,0,0,N,Science,MAJ01159,Medical Biotechnology,Medical Biotechnology,19999,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01160,3,66cp Environmental Biotechnology major BBiotech,Active,MJ,Major,66,0,0,0,N,Science,MAJ01160,Environmental Biotechnology,Environmental Biotechnology,19999,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01168,1,Biomedical Science Major BScBBus,Active,MJ,Major,96,0,0,0,N,Science,MAJ01168,Biomedical Science,Biomedical Science,19901,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01169,2,36cp Statistics and Data Science Major,Active,MJ,Major,36,0,0,0,N,Science,MAJ01169,Statistics and Data Science major,Statistics and Data Science ma,10199,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01172,1,36cp Pure and Applied Mathematics Major,Active,MJ,Major,36,0,0,0,N,Science,MAJ01172,Pure and Applied Mathematics major,Pure and Applied Mathematics m,10199,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01173,1,72cp Environmental Biotechnology major BBiotech,Active,MJ,Major,72,0,0,0,N,Science,MAJ01173,Environmental Biotechnology,Environmental Biotechnology,19999,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01174,2,72cp Medical Biotechnology Major BBiotech,Active,MJ,Major,72,0,0,0,N,Science,MAJ01174,Medical Biotechnology,Medical Biotechnology,19999,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01175,1,72cp Pre-Medicine major BAdvSc,Active,MJ,Major,72,0,0,0,N,Science,MAJ01175,Pre-medicine,Pre-medicine,10900,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01176,1,72cp Pharmaceutical Sciences major BAdvSc,Active,MJ,Major,72,0,0,0,N,Science,MAJ01176,Pharmaceutical Sciences,Pharmaceutical Sciences,10900,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01177,3,48cp Advanced Studies Major,Active,MJ,Major,48,0,0,0,N,Science,MAJ01177,Advanced Studies,Advanced Studies,10000,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01178,1,72cp Medical and Health-related Sciences Major,Active,MJ,Major,72,0,0,0,N,Science,MAJ01178,Medical and Health-related Sciences,Medical and Health-related Sci,19901,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01179,1,78cp Medical and Health-related Sciences Major,Active,MJ,Major,78,0,0,0,N,Science,MAJ01179,Medical and Health-related Sciences,Medical and Health-related Sci,19901,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01180,1,72cp Medical and Health-related Sciences Major,Active,MJ,Major,72,0,0,0,N,Science,MAJ01180,Medical and Health-related Sciences,Medical and Health-related Sci,19901,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01181,1,48cp Analytical Chemical Technologies Major,Active,MJ,Major,48,0,0,0,N,Science,MAJ01181,Analytical Chemical Technologies major,Analytical Chemical Technologi,10500,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01182,1,24cp Analytical Chemical Technologies (Honours) Major,Active,MJ,Major,24,0,0,0,N,Science,MAJ01182,Analytical Chemical Technologies (Honours) major,Analytical Chemical Technologi,10500,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01183,1,24cp Advanced Studies (Honours) Major,Active,MJ,Major,24,0,0,0,N,Science,MAJ01183,Advanced Studies (Honours) major,Advanced Studies (Honours) maj,10000,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01184,1,48cp Chemistry (Honours) Major,Active,MJ,Major,48,0,0,0,N,Science,MAJ01184,Chemistry (Honours),Chemistry (Honours),10500,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01185,1,48cp Environmental Sciences (Honours) Major,Active,MJ,Major,48,0,0,0,N,Science,MAJ01185,Environmental Sciences (Honours),Environmental Sciences (Hon),10900,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01186,1,48cp Medical Science and Biotechnology (Honours) Major,Active,MJ,Major,48,0,0,0,N,Science,MAJ01186,Medical Science and Biotechnology (Honours),Med Sc Biotech (Hon),10900,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01187,1,48cp Physics (Honours) Major,Active,MJ,Major,48,0,0,0,N,Science,MAJ01187,Physics (Honours),Physics (Hon),10301,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01188,1,72cp Quantum Technology Major,Active,MJ,Major,72,0,0,0,N,Science,MAJ01188,Quantum Technology major,Quantum Technology major,10301,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ02041,7,"Information Technology major BBus, BGS",Active,MJ,Major,48,0,0,0,D,Engineering and Information Technology,MAJ02041,Information Technology,IT Major,20300,,NA,0,Not Applicable,Major,,,,,,10070,AC,MJ,,,,$NAP
MAJ02080,2,Business Information Systems Management Major BSc Information Technology,Active,MJ,Major,48,0,0,0,D,Engineering and Information Technology,MAJ02080,Business Information Systems Management,Business Information Sys Major,20300,,NA,0,Not Applicable,Major,,,,,,10070,AC,MJ,,,,$NAP
MAJ02081,8,48cp Data Analytics major BScIT,Active,MJ,Major,48,0,0,0,D,Engineering and Information Technology,MAJ02081,Data Analytics,Data Analytics maj,20105,,NA,0,Not Applicable,Major,,,,,,10070,AC,MJ,,,,$NAP
MAJ02082,1,Business Information Systems Major,Active,MJ,Major,36,0,0,0,D,Engineering and Information Technology,MAJ02082,Business Information Systems,Business Information Systems,20300,,NA,0,Not Applicable,Major,,,,,,10070,AC,MJ,,,,$NAP
MAJ02083,1,Internetworking Major,Active,MJ,Major,36,0,0,0,D,Engineering and Information Technology,MAJ02083,Internetworking,Internetworking,20113,,NA,0,Not Applicable,Major,,,,,,10070,AC,MJ,,,,$NAP
MAJ02084,1,Data Analytics Major,Active,MJ,Major,36,0,0,0,D,Engineering and Information Technology,MAJ02084,Data Analytics,Data Analytics,20100,,NA,0,Not Applicable,Major,,,,,,10070,AC,MJ,,,,$NAP
MAJ02085,1,Interactive Media Major,Active,MJ,Major,36,0,0,0,D,Engineering and Information Technology,MAJ02085,Interactive Media,Interactive Media Major,29999,,NA,0,Not Applicable,Major,,,,,,10070,AC,MJ,,,,$NAP
MAJ02086,1,Software Development Major,Active,MJ,Major,36,0,0,0,D,Engineering and Information Technology,MAJ02086,Software Development,Software Development,20103,,NA,0,Not Applicable,Major,,,,,,10070,AC,MJ,,,,$NAP
MAJ02087,1,Business Information Systems Major,Active,MJ,Major,30,0,0,0,D,Engineering and Information Technology,MAJ02087,Business Information Systems,Business Information Systems,20300,,NA,0,Not Applicable,Major,,,,,,10070,AC,MJ,,,,$NAP
MAJ02088,1,Internetworking Major,Active,MJ,Major,30,0,0,0,D,Engineering and Information Technology,MAJ02088,Internetworking,Internetworking,20113,,NA,0,Not Applicable,Major,,,,,,10070,AC,MJ,,,,$NAP
MAJ02089,1,Data Analytics Major,Active,MJ,Major,30,0,0,0,D,Engineering and Information Technology,MAJ02089,Data Analytics,Data Analytics,20100,,NA,0,Not Applicable,Major,,,,,,10070,AC,MJ,,,,$NAP
MAJ02090,1,Interactive Media Major,Active,MJ,Major,30,0,0,0,D,Engineering and Information Technology,MAJ02090,Interactive Media,Interactive Media Major,29999,,NA,0,Not Applicable,Major,,,,,,10070,AC,MJ,,,,$NAP
MAJ02091,1,Software Development Major,Active,MJ,Major,30,0,0,0,D,Engineering and Information Technology,MAJ02091,Software Development,Software Development,20103,,NA,0,Not Applicable,Major,,,,,,10070,AC,MJ,,,,$NAP
MAJ02092,2,Interaction Design Major BSc IT,Active,MJ,Major,48,0,0,0,D,Engineering and Information Technology,MAJ02092,Interaction Design,Interaction Design,29999,,NA,0,Not Applicable,Major,,,,,,10070,AC,MJ,,,,$NAP
MAJ02093,1,36cp Cyber Security major,Active,MJ,Major,36,0,0,0,DC,Electrical and Data Engineering,MAJ02093,Cyber Security,Cyber Security,29901,,NA,0,Not Applicable,Major,,,,,,10070,AC,MJ,,,,$NAP
MAJ02094,1,30cp Cyber Security major,Active,MJ,Major,30,0,0,0,DC,Electrical and Data Engineering,MAJ02094,Cyber Security,Cyber Security,29901,,NA,0,Not Applicable,Major,,,,,,10070,AC,MJ,,,,$NAP
MAJ02900,1,Cybersecurity and Privacy,Active,MJ,Major,48,0,0,0,D,Engineering and Information Technology,MAJ02900,Cybersecurity and Privacy,Cybersecurity and Privacy,29901,,NA,0,Not Applicable,Major,,,,,,10070,AC,MJ,,,,$NAP
MAJ02901,2,48cp Quantum Information Science Major,Active,MJ,Major,48,0,0,0,D,Engineering and Information Technology,MAJ02901,Quantum Information Science,Quantum Information Science,20105,,NA,0,Not Applicable,Major,,,,,,10070,AC,MJ,,,,$NAP
MAJ02902,1,36cp Information Technology Major MBA,Active,MJ,Major,36,0,0,0,D,Engineering and Information Technology,MAJ02902,Information Technology,Information Technology,20300,,NA,0,Not Applicable,Major,,,,,,10070,AC,MJ,,,,$NAP
MAJ03001,5,Civil Engineering Major BE and BEDipEngPrac,Active,MJ,Major,120,0,0,0,D,Engineering and Information Technology,MAJ03001,Civil Engineering,Civ Eng Major,30900,,NA,0,Not Applicable,Major,,,,,,10060,AC,MJ,,,,$NAP
MAJ03002,7,Civil and Environmental Engineering Major BE and BEDipEngPrac,Active,MJ,Major,120,0,0,0,D,Engineering and Information Technology,MAJ03002,Civil and Environmental Engineering,Civ & Env Eng Major,30900,,NA,0,Not Applicable,Major,,,,,,10060,AC,MJ,,,,$NAP
MAJ03005,6,120cp Electrical Engineering major BE BEDipEngPrac,Active,MJ,Major,120,0,0,0,D,Engineering and Information Technology,MAJ03005,Electrical Engineering,Elec Eng major,31301,,NA,0,Not Applicable,Major,,,,,,10060,AC,MJ,,,,$NAP
MAJ03007,5,Mechanical Engineering Major BE and BEDipEngPrac,Active,MJ,Major,120,0,0,0,D,Engineering and Information Technology,MAJ03007,Mechanical Engineering,Mech Eng Major,30701,,NA,0,Not Applicable,Major,,,,,,10060,AC,MJ,,,,$NAP
MAJ03012,6,Mechanical and Mechatronic Engineering Major BE and BEDipEngPrac,Active,MJ,Major,120,0,0,0,D,Engineering and Information Technology,MAJ03012,Mechanical and Mechatronic Engineering,MME Eng Major,30701,,NA,0,Not Applicable,Major,,,,,,10060,AC,MJ,,,,$NAP
MAJ03013,4,102cp Civil Engineering major BEBADipEngPrac,Active,MJ,Major,102,0,0,0,D,Engineering and Information Technology,MAJ03013,Civil Engineering,Civil Engineering,30900,,NA,0,Not Applicable,Major,,,,,,10060,AC,MJ,,,,$NAP
MAJ03017,4,102cp Electrical Engineering major BEBADipEngPrac,Active,MJ,Major,102,0,0,0,D,Engineering and Information Technology,MAJ03017,Electrical Engineering,Elec Eng major,31301,,NA,0,Not Applicable,Major,,,,,,10060,AC,MJ,,,,$NAP
MAJ03019,4,102cp Mechanical Engineering major BEBADipEngPrac,Active,MJ,Major,102,0,0,0,D,Engineering and Information Technology,MAJ03019,Mechanical Engineering,Mechanical Engineering,30701,,NA,0,Not Applicable,Major,,,,,,10060,AC,MJ,,,,$NAP
MAJ03025,4,Civil Engineering Major BBEBBus and BEBsc,Active,MJ,Major,114,0,0,0,D,Engineering and Information Technology,MAJ03025,Civil Engineering,Civ Eng Major,30900,,NA,0,Not Applicable,Major,,,,,,10060,AC,MJ,,,,$NAP
MAJ03028,6,114cp Electrical Engineering major BEBBus BEBSc,Active,MJ,Major,114,0,0,0,D,Engineering and Information Technology,MAJ03028,Electrical Engineering,Elec Eng major,31301,,NA,0,Not Applicable,Major,,,,,,10060,AC,MJ,,,,$NAP
MAJ03030,5,Mechanical Engineering Major BEBBus and BEBSc,Active,MJ,Major,114,0,0,0,D,Engineering and Information Technology,MAJ03030,Mechanical Engineering,Mech Eng Major,30701,,NA,0,Not Applicable,Major,,,,,,10060,AC,MJ,,,,$NAP
MAJ03134,3,Civil Engineering Major BEngSc,Active,MJ,Major,84,0,0,0,D,Engineering and Information Technology,MAJ03134,Civil Engineering,Civ Eng Major,30900,,NA,0,Not Applicable,Major,,,,,,10060,AC,MJ,,,,$NAP
MAJ03139,4,Mechanical Engineering Major BEngSc,Active,MJ,Major,84,0,0,0,D,Engineering and Information Technology,MAJ03139,Mechanical Engineering,Mech Eng Major,30701,,NA,0,Not Applicable,Major,,,,,,10060,AC,MJ,,,,$NAP
MAJ03372,2,Water Engineering  Major MEStudies,Active,MJ,Major,48,0,0,0,D,Engineering and Information Technology,MAJ03372,Water Engineering,Water Eng Major,30999,,NA,0,Not Applicable,Major,,,,,,10060,AC,MJ,,,,$NAP
MAJ03378,3,Structural Engineering Major MEStudies,Active,MJ,Major,48,0,0,0,D,Engineering and Information Technology,MAJ03378,Structural Engineering,Structural Eng Major,30903,,NA,0,Not Applicable,Major,,,,,,10060,AC,MJ,,,,$NAP
MAJ03379,2,Software Engineering Major MEStudies,Active,MJ,Major,48,0,0,0,D,Engineering and Information Technology,MAJ03379,Software Engineering,Softw Eng Major,31305,,NA,0,Not Applicable,Major,,,,,,10070,AC,MJ,,,,$NAP
MAJ03413,4,84cp Electrical Engineering major BEngSc,Active,MJ,Major,84,0,0,0,D,Engineering and Information Technology,MAJ03413,Electrical Engineering,Elec Eng major,31301,,NA,0,Not Applicable,Major,,,,,,10060,AC,MJ,,,,$NAP
MAJ03415,2,Manufacturing Engineering and Management Major MEStudies,Active,MJ,Major,48,0,0,0,D,Engineering and Information Technology,MAJ03415,Manufacturing Engineering and Management,Manuf Eng and Mgt Major,30101,,NA,0,Not Applicable,Major,,,,,,10060,AC,MJ,,,,$NAP
