StudyPackageCd,Study Package Version,FullTitle,Stage,Study Package Category Type,Category Type Description,CreditPointValue,Nominal Hour Value,Non Credit Point Value,Scheduled Hour Value,Owning Organisational Unit Code,Owning Organisational Unit Name,Study Package Sort Code,Short Title,Abbreviated Title,Primary FOE,Award Code,Award Level Type,Expected Time to Complete,Study Type,Study Package Category,Secondary FOE,Study Package Grading Scheme Code,Study Package Requisite Types,Fee Level Type,Fee Level Code,Keyword,FOE,Study area,,,,,
10304,2,Analyse: Evaluation and Assessment in Learning Design,Active,SJ,Subject,3,0,0,0,GA,Professional Learning,10304,Analyse: Evaluation and Assessment in Learning Design,Analyse: Evaluation and Assess,79999,,NA,0,Coursework,Subject,,GN,P,UDFP Funding Cluster,11,10040,"Education, n.e.c.",Education,,,,,
10305,2,Crunch: Learning Analytics for Performance Improvement,Active,SJ,Subject,3,0,0,0,GA,Professional Learning,10305,Crunch: Learning Analytics for Performance Improvement,Crunch: Learning Analytics for,79999,,NA,0,Coursework,Subject,,GN,P,UDFP Funding Cluster,11,10040,"Education, n.e.c.",Education,,,,,
10306,2,Predict: Current and Future Trends in eLearning,Active,SJ,Subject,3,0,0,0,GA,Professional Learning,10306,Predict: Current and Future Trends in eLearning,Predict: Current and Future Tr,79999,,NA,0,Coursework,Subject,,GN,AP,UDFP Funding Cluster,11,10040,"Education, n.e.c.",Education,,,,,
10307,2,Create: Creating Interactive Multimedia Objects,Active,SJ,Subject,3,0,0,0,GA,Professional Learning,10307,Create: Creating Interactive Multimedia Objects,Create: Creating Interactive M,79999,,NA,0,Coursework,Subject,,GN,AP,UDFP Funding Cluster,11,10040,"Education, n.e.c.",Education,,,,,
10308,2,Work: Learning Design Project,Active,SJ,Subject,3,0,0,0,GA,Professional Learning,10308,Work: Learning Design Project,Work: Learning Design Project,79999,,NA,0,Coursework,Subject,,GN,P,UDFP Funding Cluster,11,10040,"Education, n.e.c.",Education,,,,,
11119,2,Landscape Architecture Studio 1,Active,SJ,Subject,12,0,0,0,AA,Architecture,11119,Landscape Architecture Studio 1,Landscape Architecture Studio,50999,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,10,10020,"Environmental Studies, n.e.c.","Design, Architecture and Building",,,,,
11128,1,Communications 1,Active,SJ,Subject,6,0,0,0,AA,Architecture,11128,Communications 1,Communications 1,40105,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Landscape Architecture,"Design, Architecture and Building",,,,,
11129,1,Communications 2,Active,SJ,Subject,6,0,0,0,AA,Architecture,11129,Communications 2,Communications 2,31103,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,8E,10020,Mapping Science,"Design, Architecture and Building",,,,,
11130,2,Landscape Architecture Studio 3,Active,SJ,Subject,12,0,0,0,AA,Architecture,11130,Landscape Architecture Studio 3,Landscape Architecture Studio,10799,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,8S,10020,"Earth Sciences, n.e.c.","Design, Architecture and Building",,,,,
11147,1,Landscape Architecture Global Studio,Active,SJ,Subject,6,0,0,0,AA,Architecture,11147,Landscape Architecture Global Studio,Landscape Architecture Global,40105,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Landscape Architecture,"Design, Architecture and Building",,,,,
11148,2,Landscape Architecture Global Studio B,Active,SJ,Subject,6,0,0,0,AA,Architecture,11148,Landscape Architecture Global Studio B,Land Arch Global Studio B,40105,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Landscape Architecture,"Design, Architecture and Building",,,,,
11149,2,Landscape Architecture Global Studio C,Active,SJ,Subject,6,0,0,0,AA,Architecture,11149,Landscape Architecture Global Studio C,Land Arch Global Studio C,40105,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Landscape Architecture,"Design, Architecture and Building",,,,,
11150,3,Landscape for Well-being,Active,SJ,Subject,6,0,0,0,AA,Architecture,11150,Landscape for Well-being,Landscape for Well-being,40105,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Landscape Architecture,"Design, Architecture and Building",,,,,
11170,2,Landform,Active,SJ,Subject,6,0,0,0,AA,Architecture,11170,Landform,Landform,40105,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Landscape Architecture,"Design, Architecture and Building",,,,,
11171,2,Landscape Architecture Studio 1: Forming,Active,SJ,Subject,6,0,0,0,AA,Architecture,11171,Landscape Architecture Studio 1: Forming,Landscape Architecture Studio,40105,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Landscape Architecture,"Design, Architecture and Building",,,,,
11172,1,Landscape History and Theory 1,Active,SJ,Subject,6,0,0,0,AA,Architecture,11172,Landscape History and Theory 1,Landscape History and Theory 1,40105,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Landscape Architecture,"Design, Architecture and Building",,,,,
11173,3,Landscape Architecture Studio 2,Active,SJ,Subject,6,0,0,0,AA,Architecture,11173,Landscape Architecture Studio 2,Landscape Architecture Studio,40105,,NA,0,Coursework,Subject,,GM,AP,UDFP Funding Cluster,6,10020,Landscape Architecture,"Design, Architecture and Building",,,,,
11174,1,Landscape History and Theory 2,Active,SJ,Subject,6,0,0,0,AA,Architecture,11174,Landscape History and Theory 2,Landscape History and Theory 2,40105,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Landscape Architecture,"Design, Architecture and Building",,,,,
11176,2,Territory,Active,SJ,Subject,6,0,0,0,AA,Architecture,11176,Territory,Territory,40105,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Landscape Architecture,"Design, Architecture and Building",,,,,
11177,3,Botany,Active,SJ,Subject,6,0,0,0,AA,Architecture,11177,Botany,Botany,40105,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Landscape Architecture,"Design, Architecture and Building",,,,,
11178,3,Landscape Architecture Studio 4,Active,SJ,Subject,6,0,0,0,AA,Architecture,11178,Landscape Architecture Studio 4,Landscape Architecture Studio,40105,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Landscape Architecture,"Design, Architecture and Building",,,,,
11180,3,Construction,Active,SJ,Subject,6,0,0,0,AA,Architecture,11180,Construction,Construction,40105,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Landscape Architecture,"Design, Architecture and Building",,,,,
11182,2,Urbanisms,Active,SJ,Subject,6,0,0,0,AA,Architecture,11182,Urbanisms,Urbanisms,40199,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,"Architecture and Urban Environment, n.e.c.","Design, Architecture and Building",,,,,
11183,3,Ecology,Active,SJ,Subject,6,0,0,0,AA,Architecture,11183,Ecology,Ecology,40199,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,"Architecture and Urban Environment, n.e.c.","Design, Architecture and Building",,,,,
11184,3,Landscape Architecture Studio 6,Active,SJ,Subject,6,0,0,0,AA,Architecture,11184,Landscape Architecture Studio 6,Landscape Architecture Studio,40105,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Landscape Architecture,"Design, Architecture and Building",,,,,
11186,2,Infrastructure,Active,SJ,Subject,6,0,0,0,AA,Architecture,11186,Infrastructure,Infrastructure,40105,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Landscape Architecture,"Design, Architecture and Building",,,,,
11188,2,Landscape Architecture Studio 5,Active,SJ,Subject,12,0,0,0,AA,Architecture,11188,Landscape Architecture Studio 5,Landscape Architecture Studio,50999,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,10,10020,"Environmental Studies, n.e.c.","Design, Architecture and Building",,,,,
11189,1,Practice: Research Cultures,Active,SJ,Subject,6,0,0,0,AA,Architecture,11189,Practice: Research Cultures,Practice: Research Cultures,40105,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Landscape Architecture,"Design, Architecture and Building",,,,,
11190,1,Communications 3,Active,SJ,Subject,6,0,0,0,AA,Architecture,11190,Communications 3,Communications 3,40105,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Landscape Architecture,"Design, Architecture and Building",,,,,
11191,3,Landscape Architecture Design Studio 7,Active,SJ,Subject,12,0,0,0,AA,Architecture,11191,Landscape Architecture Design Studio 7,Landscape Arch Design Studio 7,40105,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Landscape Architecture,"Design, Architecture and Building",,,,,
11191,4,Landscape Architecture Studio 7,Draft,SJ,Subject,12,0,0,0,AA,Architecture,11191,Landscape Architecture Studio 7,Landscape Architecture Studio,40105,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Landscape Architecture,"Design, Architecture and Building",,,,,
11194,2,Landscape Architecture Studio 8,Active,SJ,Subject,12,0,0,0,AA,Architecture,11194,Landscape Architecture Studio 8,Landscape Architecture Studio,40105,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Landscape Architecture,"Design, Architecture and Building",,,,,
11195,1,Modern American Architecture,Active,SJ,Subject,6,0,0,0,AA,Architecture,11195,Modern American Architecture,Modern American Architecture,40100,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Architecture and Urban Environment,"Design, Architecture and Building",,,,,
11196,1,Landscape History and Theory 3,Active,SJ,Subject,6,0,0,0,AA,Architecture,11196,Landscape History and Theory 3,Landscape History and Theory 3,40105,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Landscape Architecture,"Design, Architecture and Building",,,,,
11197,1,Landscape Architecture Studio 2,Active,SJ,Subject,12,0,0,0,AA,Architecture,11197,Landscape Architecture Studio 2,Landscape Architecture Studio,40105,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Landscape Architecture,"Design, Architecture and Building",,,,,
11198,1,Landscape Architecture Studio 4,Active,SJ,Subject,12,0,0,0,AA,Architecture,11198,Landscape Architecture Studio 4,Landscape Architecture Studio,40105,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Landscape Architecture,"Design, Architecture and Building",,,,,
11199,1,Landscape Architecture Studio 6,Active,SJ,Subject,12,0,0,0,AA,Architecture,11199,Landscape Architecture Studio 6,Landscape Architecture Studio,40105,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Landscape Architecture,"Design, Architecture and Building",,,,,
11206,1,Introduction to Construction and Structural Synthesis,Active,SJ,Subject,6,0,0,0,AA,Architecture,11206,Introduction to Construction and Structural Synthesis,Introduction Construction,30903,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,8E,10020,Structural Engineering,"Design, Architecture and Building",,,,,
11207,1,Architectural Design and Construction,Active,SJ,Subject,6,0,0,0,AA,Architecture,11207,Architectural Design and Construction,Architectural Design Construct,30903,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,8E,10020,Structural Engineering,"Design, Architecture and Building",,,,,
11212,2,Architectural History and Theory: Orientations,Active,SJ,Subject,6,0,0,0,AA,Architecture,11212,Architectural History and Theory: Orientations,Architectural History Theory,40101,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Architecture,"Design, Architecture and Building",,,,,
11214,2,Spatial Communications 1,Active,SJ,Subject,6,0,0,0,AA,Architecture,11214,Spatial Communications 1,Spatial Communications 1,40101,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Architecture,"Design, Architecture and Building",,,,,
11216,2,Architectural History and Theory: Modernity and Modernism,Active,SJ,Subject,6,0,0,0,AA,Architecture,11216,Architectural History and Theory: Modernity and Modernism,Architectural History Theory,40101,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Architecture,"Design, Architecture and Building",,,,,
11222,2,Architectural History and Theory: Critique,Active,SJ,Subject,6,0,0,0,AA,Architecture,11222,Architectural History and Theory: Critique,Architectural History Theory,40101,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Architecture,"Design, Architecture and Building",,,,,
11225,2,Thermal Design and Environmental Control,Active,SJ,Subject,6,0,0,0,AA,Architecture,11225,Thermal Design and Environmental Control,Thermal Design Environmental,30905,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,8E,10020,Building Services Engineering,"Design, Architecture and Building",,,,,
11232,2,"Lighting, Acoustics and Advanced Environmental Control",Active,SJ,Subject,6,0,0,0,AA,Architecture,11232,"Lighting, Acoustics and Advanced Environmental Control",Lighting Acoustics Advanced,30905,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,8E,10020,Building Services Engineering,"Design, Architecture and Building",,,,,
11235,2,Architecture and Urban Projects,Active,SJ,Subject,6,0,0,0,AA,Architecture,11235,Architecture and Urban Projects,Architecture and Urban Project,40101,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Architecture,"Design, Architecture and Building",,,,,
11247,2,Architectural History and Theory: Current Events and Debates,Active,SJ,Subject,6,0,0,0,AA,Architecture,11247,Architectural History and Theory: Current Events and Debates,Architectural History Theory,40101,,NA,0,Coursework,Subject,,GM,AP,UDFP Funding Cluster,6,10020,Architecture,"Design, Architecture and Building",,,,,
11248,2,Architectural History and Theory: Urbanism and the City,Active,SJ,Subject,6,0,0,0,AA,Architecture,11248,Architectural History and Theory: Urbanism and the City,Architectural History Theory,40101,,NA,0,Coursework,Subject,,GM,AP,UDFP Funding Cluster,6,10020,Architecture,"Design, Architecture and Building",,,,,
11273,1,Architectural Studio 1,Active,SJ,Subject,12,0,0,0,AA,Architecture,11273,Architectural Studio 1,Architectural Studio 1,50999,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,10,10020,"Environmental Studies, n.e.c.","Design, Architecture and Building",,,,,
11274,1,Architectural Studio 2,Active,SJ,Subject,12,0,0,0,AA,Architecture,11274,Architectural Studio 2,Architectural Studio 2,30903,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,8E,10020,Structural Engineering,"Design, Architecture and Building",,,,,
11275,1,Architectural Studio 3,Active,SJ,Subject,12,0,0,0,AA,Architecture,11275,Architectural Studio 3,Architectural Studio 3,30903,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,8E,10020,Structural Engineering,"Design, Architecture and Building",,,,,
11276,1,Architectural Studio 4,Active,SJ,Subject,12,0,0,0,AA,Architecture,11276,Architectural Studio 4,Architectural Studio 4,30905,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,8E,10020,Building Services Engineering,"Design, Architecture and Building",,,,,
11277,1,Architectural Studio 5,Active,SJ,Subject,12,0,0,0,AA,Architecture,11277,Architectural Studio 5,Architectural Studio 5,50999,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,10,10020,"Environmental Studies, n.e.c.","Design, Architecture and Building",,,,,
11278,1,Architectural Studio 6,Active,SJ,Subject,12,0,0,0,AA,Architecture,11278,Architectural Studio 6,Architectural Studio 6,30905,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,8E,10020,Building Services Engineering,"Design, Architecture and Building",,,,,
11283,2,The Social Photo and Designed Landscapes,Active,SJ,Subject,6,0,0,0,AA,Architecture,11283,The Social Photo and Designed Landscapes,The Social Photo and Designed,40101,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Architecture,"Design, Architecture and Building",,,,,
11285,1,Advanced Modelmaking,Active,SJ,Subject,6,0,0,0,AA,Architecture,11285,Advanced Modelmaking,Advanced Modelmaking,40101,,NA,0,Coursework,Subject,,GM,,UDFP Funding Cluster,6,10020,Architecture,"Design, Architecture and Building",,,,,
11287,1,Islamic Architecture 630-1700,Active,SJ,Subject,6,0,0,0,AA,Architecture,11287,Islamic Architecture 630-1700,Islamic Architecture 630-1700,40101,,NA,0,Coursework,Subject,,GM,,UDFP Funding Cluster,6,10020,Architecture,"Design, Architecture and Building",,,,,
11291,2,Freehand Drawing,Active,SJ,Subject,6,0,0,0,AA,Architecture,11291,Freehand Drawing,Freehand Drawing,40101,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Architecture,"Design, Architecture and Building",,,,,
11294,2,Industry Elective: Cinematic Spaces,Active,SJ,Subject,6,0,0,0,AA,Architecture,11294,Industry Elective: Cinematic Spaces,Industry Elective: Cinematic S,40101,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Architecture,"Design, Architecture and Building",,,,,
11295,3,Technique: The Architectural Model,Active,SJ,Subject,6,0,0,0,AA,Architecture,11295,Technique: The Architectural Model,Technique: The Architectural M,40101,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Architecture,"Design, Architecture and Building",,,,,
11296,2,Contemporary Issues in Urban Design,Active,SJ,Subject,6,0,0,0,AA,Architecture,11296,Contemporary Issues in Urban Design,Contemporary Issues in Urban D,40101,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Architecture,"Design, Architecture and Building",,,,,
11297,2,Landscape Narratives,Active,SJ,Subject,6,0,0,0,AA,Architecture,11297,Landscape Narratives,Landscape Narratives,40101,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Architecture,"Design, Architecture and Building",,,,,
11301,2,Architectural Special Project (Global B),Active,SJ,Subject,6,0,0,0,AA,Architecture,11301,Architectural Special Project (Global B),Architectural Special Project,40101,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Architecture,"Design, Architecture and Building",,,,,
11305,2,Architecture Special Topics,Active,SJ,Subject,6,0,0,0,AA,Architecture,11305,Architecture Special Topics,Architecture Special Topics,40101,,NA,0,Coursework,Subject,,GM,,UDFP Funding Cluster,6,10020,Architecture,"Design, Architecture and Building",,,,,
11307,1,Architecture Special Project,Active,SJ,Subject,6,0,0,0,AA,Architecture,11307,Architecture Special Project,Architecture Special Project,40101,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Architecture,"Design, Architecture and Building",,,,,
11308,1,Reading and Writing Architectural Criticism,Active,SJ,Subject,6,0,0,0,AA,Architecture,11308,Reading and Writing Architectural Criticism,Reading Writing Architectural,40101,,NA,0,Coursework,Subject,,GM,P,UDFP Funding Cluster,6,10020,Architecture,"Design, Architecture and Building",,,,,
