StudyPackageCd,Study Package Version,FullTitle,Stage,Study Package Category Type,Category Type Description,CreditPointValue,Nominal Hour Value,Non Credit Point Value,Scheduled Hour Value,Owning Organisational Unit Code,Owning Organisational Unit Name,Study Package Sort Code,Short Title,Abbreviated Title,Primary FOE,Award Code,Award Level Type,Expected Time to Complete,Study Type,Study Package Category,Secondary FOE,Study Package Grading Scheme Code,Study Package Requisite Types,Fee Level Type,Fee Level Code,Keyword,SpkStageCd_Code,SpkCatCd_Code,AwdCd_Code,AwdLvlTypeCd_Code,FeeLvlTypeCd_Code,StudyTypeCd_Code,,,,,,,,,,,
C03029,4,Master of Science (Research),Active,MR,Master's Research,0,0,0,0,N,Science,C03029,Master of Science (Research),Master of Science (Research),10500,Masters,Master's,2,Higher Degree Research,Course,,,,,,10100,No,No,,0,48,0,13/11/2014,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03029,4,Master of Science (Research),Active,MR,Master's Research,0,0,0,0,N,Science,C03029,Master of Science (Research),Master of Science (Research),10500,Masters,Master's,2,Higher Degree Research,Course,,,,,,ATT02,No,No,,0,48,0,13/11/2014,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03032,4,Master of Sustainable Futures (Research),Active,MR,Master's Research,0,0,0,0,PF,Institute for Sustainable Futures,C03032,Master of Sustainable Futures (Research),MSF(Res),10999,Masters,Master's,2,Higher Degree Research,Course,,,,,,10900,No,No,,0,48,0,9/08/2013,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03032,4,Master of Sustainable Futures (Research),Active,MR,Master's Research,0,0,0,0,PF,Institute for Sustainable Futures,C03032,Master of Sustainable Futures (Research),MSF(Res),10999,Masters,Master's,2,Higher Degree Research,Course,,,,,,ATT02,No,No,,0,48,0,9/08/2013,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03048,3,Master of Nursing (Research),Active,MR,Master's Research,0,0,0,0,J,Health,C03048,Master of Nursing (Research),Master of Nursing (Research),60301,Masters,Master's,2,Higher Degree Research,Course,,,,,,10090,No,No,,0,48,0,23/11/2016,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03048,3,Master of Nursing (Research),Active,MR,Master's Research,0,0,0,0,J,Health,C03048,Master of Nursing (Research),Master of Nursing (Research),60301,Masters,Master's,2,Higher Degree Research,Course,,,,,,ATT02,No,No,,0,48,0,23/11/2016,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03049,3,Master of Midwifery (Research),Active,MR,Master's Research,0,0,0,0,J,Health,C03049,Master of Midwifery (Research),Master of Midwifery (Research),60303,Masters,Master's,2,Higher Degree Research,Course,,,,,,10090,No,No,,0,48,0,23/11/2016,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03049,3,Master of Midwifery (Research),Active,MR,Master's Research,0,0,0,0,J,Health,C03049,Master of Midwifery (Research),Master of Midwifery (Research),60303,Masters,Master's,2,Higher Degree Research,Course,,,,,,ATT02,No,No,,0,48,0,23/11/2016,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03050,3,Master of Health Services (Research),Active,MR,Master's Research,0,0,0,0,J,Health,C03050,Master of Health Services (Research),Master Health Services (Res),60301,Masters,Master's,2,Higher Degree Research,Course,,,,,,10090,No,No,,0,48,0,23/11/2016,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03050,3,Master of Health Services (Research),Active,MR,Master's Research,0,0,0,0,J,Health,C03050,Master of Health Services (Research),Master Health Services (Res),60301,Masters,Master's,2,Higher Degree Research,Course,,,,,,ATT02,No,No,,0,48,0,23/11/2016,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03051,3,Master of Analytics (Research),Active,MR,Master's Research,0,0,0,0,D,Engineering and Information Technology,C03051,Master of Analytics (Research),MAnalytics(Res),29999,Masters,Master's,2,Higher Degree Research,Course,,,,,,10070,No,No,,0,48,0,23/11/2021,31/05/2022,31/05/2022,AC,CR,N,N,MASTERS,MAST,,$HDR
C03051,3,Master of Analytics (Research),Active,MR,Master's Research,0,0,0,0,D,Engineering and Information Technology,C03051,Master of Analytics (Research),MAnalytics(Res),29999,Masters,Master's,2,Higher Degree Research,Course,,,,,,ATT02,No,No,,0,48,0,23/11/2021,31/05/2022,31/05/2022,AC,CR,N,N,MASTERS,MAST,,$HDR
C03053,2,Master of Pharmacy (Research),Active,MR,Master's Research,0,0,0,0,W,Graduate School of Health,C03053,Master of Pharmacy (Research),Master of Pharmacy (Research),60501,Masters,Master's,2,Higher Degree Research,Course,,,,,,10095,No,No,,0,48,0,5/03/2019,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03053,2,Master of Pharmacy (Research),Active,MR,Master's Research,0,0,0,0,W,Graduate School of Health,C03053,Master of Pharmacy (Research),Master of Pharmacy (Research),60501,Masters,Master's,2,Higher Degree Research,Course,,,,,,ATT02,No,No,,0,48,0,5/03/2019,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03054,2,Master of Pharmaceutical Sciences (Research),Active,MR,Master's Research,0,0,0,0,W,Graduate School of Health,C03054,Master of Pharmaceutical Sciences (Research),MPharmaceutical Sc (Research),60501,Masters,Master's,2,Higher Degree Research,Course,,,,,,10095,No,No,,0,48,0,5/03/2019,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03054,2,Master of Pharmaceutical Sciences (Research),Active,MR,Master's Research,0,0,0,0,W,Graduate School of Health,C03054,Master of Pharmaceutical Sciences (Research),MPharmaceutical Sc (Research),60501,Masters,Master's,2,Higher Degree Research,Course,,,,,,ATT02,No,No,,0,48,0,5/03/2019,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03055,1,Master of Sport and Exercise (Research),Active,MR,Master's Research,0,0,0,0,J,Health,C03055,Master of Sport and Exercise (Research),MSportEx(Res),69903,Masters,Master's,2,Higher Degree Research,Course,,,,,,10090,No,No,,0,48,0,4/12/2013,13/12/2022,13/12/2022,AC,CR,N,N,MASTERS,MAST,,$HDR
C03055,1,Master of Sport and Exercise (Research),Active,MR,Master's Research,0,0,0,0,J,Health,C03055,Master of Sport and Exercise (Research),MSportEx(Res),69903,Masters,Master's,2,Higher Degree Research,Course,,,,,,ATT02,No,No,,0,48,0,4/12/2013,13/12/2022,13/12/2022,AC,CR,N,N,MASTERS,MAST,,$HDR
C03056,2,Master of Orthoptics (Research),Active,MR,Master's Research,0,0,0,0,W,Graduate School of Health,C03056,Master of Orthoptics (Research),Master of Orthoptics Research,69999,Masters,Master's,2,Higher Degree Research,Course,,,,,,10095,No,No,,0,48,0,5/03/2019,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03056,2,Master of Orthoptics (Research),Active,MR,Master's Research,0,0,0,0,W,Graduate School of Health,C03056,Master of Orthoptics (Research),Master of Orthoptics Research,69999,Masters,Master's,2,Higher Degree Research,Course,,,,,,ATT02,No,No,,0,48,0,5/03/2019,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03057,2,Master of Clinical Psychology (Research),Active,MR,Master's Research,0,0,0,0,W,Graduate School of Health,C03057,Master of Clinical Psychology (Research),M Clinical Psych Res,90701,Masters,Master's,2,Higher Degree Research,Course,,,,,,10095,No,No,,0,48,0,5/03/2019,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03057,2,Master of Clinical Psychology (Research),Active,MR,Master's Research,0,0,0,0,W,Graduate School of Health,C03057,Master of Clinical Psychology (Research),M Clinical Psych Res,90701,Masters,Master's,2,Higher Degree Research,Course,,,,,,ATT02,No,No,,0,48,0,5/03/2019,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03059,2,Master of Physiotherapy (Research),Active,MR,Master's Research,0,0,0,0,W,Graduate School of Health,C03059,Master of Physiotherapy (Research),M Physiotherapy (Research),61701,Masters,Master's,2,Higher Degree Research,Course,,,,,,10095,No,No,,0,48,0,5/03/2019,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03059,2,Master of Physiotherapy (Research),Active,MR,Master's Research,0,0,0,0,W,Graduate School of Health,C03059,Master of Physiotherapy (Research),M Physiotherapy (Research),61701,Masters,Master's,2,Higher Degree Research,Course,,,,,,ATT02,No,No,,0,48,0,5/03/2019,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03061,1,Master of Genetic Counselling (Research),Active,MR,Master's Research,0,0,0,0,W,Graduate School of Health,C03061,Master of Genetic Counselling (Research),MGenCouns(Res),69999,Masters,Master's,2,Higher Degree Research,Course,,,,,,10095,No,No,,0,48,0,7/02/2018,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03061,1,Master of Genetic Counselling (Research),Active,MR,Master's Research,0,0,0,0,W,Graduate School of Health,C03061,Master of Genetic Counselling (Research),MGenCouns(Res),69999,Masters,Master's,2,Higher Degree Research,Course,,,,,,ATT02,No,No,,0,48,0,7/02/2018,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03062,1,Master of Speech and Language Sciences (Research),Active,MR,Master's Research,0,0,0,0,W,Graduate School of Health,C03062,Master of Speech and Language Sciences (Research),MSpLangSc(Res),61707,Masters,Master's,2,Higher Degree Research,Course,,,,,,10095,No,No,,0,48,0,7/02/2018,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03062,1,Master of Speech and Language Sciences (Research),Active,MR,Master's Research,0,0,0,0,W,Graduate School of Health,C03062,Master of Speech and Language Sciences (Research),MSpLangSc(Res),61707,Masters,Master's,2,Higher Degree Research,Course,,,,,,ATT02,No,No,,0,48,0,7/02/2018,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03063,1,Master of Transdisciplinary Innovation (Research),Active,MR,Master's Research,0,0,0,0,C,TD School,C03063,Master of Transdisciplinary Innovation (Research),MTdInn(Res),100799,Masters,Master's,2,Higher Degree Research,Course,,,,,,10120,No,No,,0,48,0,12/03/2018,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03063,1,Master of Transdisciplinary Innovation (Research),Active,MR,Master's Research,0,0,0,0,C,TD School,C03063,Master of Transdisciplinary Innovation (Research),MTdInn(Res),100799,Masters,Master's,2,Higher Degree Research,Course,,,,,,ATT02,No,No,,0,48,0,12/03/2018,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03063,1,Master of Transdisciplinary Innovation (Research),Active,MR,Master's Research,0,0,0,0,C,Transdisciplinary Innovation,C03063,Master of Transdisciplinary Innovation (Research),MTdInn(Res),100799,Masters,Master's,2,Higher Degree Research,Course,,,,,,10120,No,No,,0,48,0,12/03/2018,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03063,1,Master of Transdisciplinary Innovation (Research),Active,MR,Master's Research,0,0,0,0,C,Transdisciplinary Innovation,C03063,Master of Transdisciplinary Innovation (Research),MTdInn(Res),100799,Masters,Master's,2,Higher Degree Research,Course,,,,,,ATT02,No,No,,0,48,0,12/03/2018,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03064,1,Master of Learning Analytics (Research),Active,MR,Master's Research,0,0,0,0,PI,Connected Intelligence Centre,C03064,Master of Learning Analytics (Research),MLrnAnalyt(Res),10199,Masters,Master's,2,Higher Degree Research,Course,,,,,,10110,No,No,,0,48,0,2/05/2018,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03064,1,Master of Learning Analytics (Research),Active,MR,Master's Research,0,0,0,0,PI,Connected Intelligence Centre,C03064,Master of Learning Analytics (Research),MLrnAnalyt(Res),10199,Masters,Master's,2,Higher Degree Research,Course,,,,,,ATT02,No,No,,0,48,0,2/05/2018,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03066,1,Master of Arts (Research),Active,MR,Master's Research,0,0,0,0,G,Arts and Social Sciences,C03066,Master of Arts (Research),Master of Arts (Research),70000,Masters,Master's,2,Higher Degree Research,Course,,,,,,10040,No,No,,0,48,0,9/10/2019,23/07/2020,23/07/2020,AC,CR,N,N,MASTERS,MAST,,$HDR
C03066,1,Master of Arts (Research),Active,MR,Master's Research,0,0,0,0,G,Arts and Social Sciences,C03066,Master of Arts (Research),Master of Arts (Research),70000,Masters,Master's,2,Higher Degree Research,Course,,,,,,ATT02,No,No,,0,48,0,9/10/2019,23/07/2020,23/07/2020,AC,CR,N,N,MASTERS,MAST,,$HDR
C03067,1,Master of Arts (Research),Active,MR,Master's Research,0,0,0,0,G,Arts and Social Sciences,C03067,Master of Arts (Research),Master of Arts (Research),90000,Masters,Master's,2,Higher Degree Research,Course,,,,,,10030,No,No,,0,48,0,9/10/2019,23/07/2020,23/07/2020,AC,CR,N,N,MASTERS,MAST,,$HDR
C03067,1,Master of Arts (Research),Active,MR,Master's Research,0,0,0,0,G,Arts and Social Sciences,C03067,Master of Arts (Research),Master of Arts (Research),90000,Masters,Master's,2,Higher Degree Research,Course,,,,,,21050,No,No,,0,48,0,9/10/2019,23/07/2020,23/07/2020,AC,CR,N,N,MASTERS,MAST,,$HDR
C03067,1,Master of Arts (Research),Active,MR,Master's Research,0,0,0,0,G,Arts and Social Sciences,C03067,Master of Arts (Research),Master of Arts (Research),90000,Masters,Master's,2,Higher Degree Research,Course,,,,,,ATT02,No,No,,0,48,0,9/10/2019,23/07/2020,23/07/2020,AC,CR,N,N,MASTERS,MAST,,$HDR
C03068,1,Master of Indigenous Health (Research),Active,MR,Master's Research,0,0,0,0,J,Health,C03068,Master of Indigenous Health (Research),MIndH(Res),61305,Masters,Master's,2,Higher Degree Research,Course,,,,,,10090,No,No,,0,48,0,18/06/2020,24/08/2020,24/08/2020,AC,CR,N,N,MASTERS,MAST,,$HDR
C03068,1,Master of Indigenous Health (Research),Active,MR,Master's Research,0,0,0,0,J,Health,C03068,Master of Indigenous Health (Research),MIndH(Res),61305,Masters,Master's,2,Higher Degree Research,Course,,,,,,ATT02,No,No,,0,48,0,18/06/2020,24/08/2020,24/08/2020,AC,CR,N,N,MASTERS,MAST,,$HDR
C03069,1,Master of Business (Research),Active,MR,Master's Research,0,0,0,0,B,Business,C03069,Master of Business (Research),Master of Business (Research),80000,Masters,Master's,2,Higher Degree Research,Course,,,,,,10010,No,No,,0,48,0,29/03/2022,22/08/2022,22/08/2022,AC,CR,N,N,MASTERS,MAST,,$HDR
C03069,1,Master of Business (Research),Active,MR,Master's Research,0,0,0,0,B,Business,C03069,Master of Business (Research),Master of Business (Research),80000,Masters,Master's,2,Higher Degree Research,Course,,,,,,ATT02,No,No,,0,48,0,29/03/2022,22/08/2022,22/08/2022,AC,CR,N,N,MASTERS,MAST,,$HDR
C04006,7,Master of Project Management,Active,MC,Master's Coursework,72,0,0,0,A,"Design, Architecture and Building",C04006,Master of Project Management,MPM,80315,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,10020,No,No,,0,48,52,10/07/2018,10/05/2023,10/05/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04006,7,Master of Project Management,Active,MC,Master's Coursework,72,0,0,0,A,"Design, Architecture and Building",C04006,Master of Project Management,MPM,80315,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,52,10/07/2018,10/05/2023,10/05/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04007,7,Master of Planning,Active,MC,Master's Coursework,72,0,0,0,A,"Design, Architecture and Building",C04007,Master of Planning,MPlan,40103,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,10020,No,No,,0,48,52,9/05/2017,14/05/2020,14/05/2020,AC,CR,N,N,MASTERS,MAST,,$HDC
C04007,7,Master of Planning,Active,MC,Master's Coursework,72,0,0,0,A,"Design, Architecture and Building",C04007,Master of Planning,MPlan,40103,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,52,9/05/2017,14/05/2020,14/05/2020,AC,CR,N,N,MASTERS,MAST,,$HDC
C04008,6,Master of Property Development,Active,MC,Master's Coursework,72,0,0,0,A,"Design, Architecture and Building",C04008,Master of Property Development,MProDev,40199,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,10020,No,No,,0,48,48,24/08/2017,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDC
C04008,6,Master of Property Development,Active,MC,Master's Coursework,72,0,0,0,A,"Design, Architecture and Building",C04008,Master of Property Development,MProDev,40199,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,48,24/08/2017,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDC
C04018,8,Master of Business Administration,Active,MC,Master's Coursework,96,0,0,0,B,Business,C04018,Master of Business Administration,MBA,80300,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,10010,No,No,,0,48,52,2/07/2021,28/04/2023,28/04/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04018,8,Master of Business Administration,Active,MC,Master's Coursework,96,0,0,0,B,Business,C04018,Master of Business Administration,MBA,80300,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,52,2/07/2021,28/04/2023,28/04/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04018,8,Master of Business Administration,Active,MC,Master's Coursework,96,0,0,0,B,Business,C04018,Master of Business Administration,MBA,80300,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,MAJ23,No,No,,0,48,52,2/07/2021,28/04/2023,28/04/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04018,8,Master of Business Administration,Active,MC,Master's Coursework,96,0,0,0,B,Business,C04018,Master of Business Administration,MBA,80300,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,MAJ30,No,No,,0,48,52,2/07/2021,28/04/2023,28/04/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04018,8,Master of Business Administration,Active,MC,Master's Coursework,96,0,0,0,B,Business,C04018,Master of Business Administration,MBA,80300,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,MAJ31,No,No,,0,48,52,2/07/2021,28/04/2023,28/04/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04018,8,Master of Business Administration,Active,MC,Master's Coursework,96,0,0,0,B,Business,C04018,Master of Business Administration,MBA,80300,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,MAJ32,No,No,,0,48,52,2/07/2021,28/04/2023,28/04/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04018,8,Master of Business Administration,Active,MC,Master's Coursework,96,0,0,0,B,Business,C04018,Master of Business Administration,MBA,80300,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,MAJ34,No,No,,0,48,52,2/07/2021,28/04/2023,28/04/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04018,8,Master of Business Administration,Active,MC,Master's Coursework,96,0,0,0,B,Business,C04018,Master of Business Administration,MBA,80300,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,MAJ35,No,No,,0,48,52,2/07/2021,28/04/2023,28/04/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04018,8,Master of Business Administration,Active,MC,Master's Coursework,96,0,0,0,B,Business,C04018,Master of Business Administration,MBA,80300,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,MAJ36,No,No,,0,48,52,2/07/2021,28/04/2023,28/04/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04018,8,Master of Business Administration,Active,MC,Master's Coursework,96,0,0,0,B,Business,C04018,Master of Business Administration,MBA,80300,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,MAJ37,No,No,,0,48,52,2/07/2021,28/04/2023,28/04/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04018,8,Master of Business Administration,Active,MC,Master's Coursework,96,0,0,0,B,Business,C04018,Master of Business Administration,MBA,80300,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,MAJ38,No,No,,0,48,52,2/07/2021,28/04/2023,28/04/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04018,8,Master of Business Administration,Active,MC,Master's Coursework,96,0,0,0,B,Business,C04018,Master of Business Administration,MBA,80300,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,MAJ40,No,No,,0,48,52,2/07/2021,28/04/2023,28/04/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04018,8,Master of Business Administration,Active,MC,Master's Coursework,96,0,0,0,B,Business,C04018,Master of Business Administration,MBA,80300,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,MAJ41,No,No,,0,48,52,2/07/2021,28/04/2023,28/04/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04018,8,Master of Business Administration,Active,MC,Master's Coursework,96,0,0,0,B,Business,C04018,Master of Business Administration,MBA,80300,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,MAJ42,No,No,,0,48,52,2/07/2021,28/04/2023,28/04/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04018,8,Master of Business Administration,Active,MC,Master's Coursework,96,0,0,0,B,Business,C04018,Master of Business Administration,MBA,80300,Masters,Master's,2,Higher Degree Coursework,Course,,,,,,MAJ43,No,No,,0,48,52,2/07/2021,28/04/2023,28/04/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04038,10,Master of Financial Analysis,Active,MC,Master's Coursework,72,0,0,0,B,Business,C04038,Master of Financial Analysis,Master of Financial Analysis,80000,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,10010,No,No,,0,48,52,3/06/2021,11/07/2023,11/07/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
C04038,10,Master of Financial Analysis,Active,MC,Master's Coursework,72,0,0,0,B,Business,C04038,Master of Financial Analysis,Master of Financial Analysis,80000,Masters,Master's,1.5,Higher Degree Coursework,Course,,,,,,ATT02,No,No,,0,48,52,3/06/2021,11/07/2023,11/07/2023,AC,CR,N,N,MASTERS,MAST,,$HDC
